ID,Father,Mother
1,A,B
2,A,B
4,2,C
6,2,D
7,2,D
9,E,D
10,E,D
14,E,F
16,E,F
19,J,K
20,H,I
21,J,K
23,J,K
25,M,L
26,M,3
27,M,3
28,M,3
29,N,D
30,N,D
31,6,5
32,6,P
34,R,Q
35,R,Q
36,R,Q
37,R,Q
38,9,S
39,9,S
40,9,S
41,12,11
42,12,11
43,14,13
44,14,15
45,17,16
46,10,T
47,U,T
48,18,V
49,18,V
50,18,V
51,18,V
52,W,X
53,W,X
54,Z,Y
56,AA,AB
57,AA,AB
58,19,20
59,19,20
60,23,AC
61,25,24
62,25,AD
64,AE,AF
65,AG,33
66,AG,33
67,35,AH
68,37,AI
69,37,AI
70,40,AJ
71,40,AJ
72,AK,41
73,AK,41
74,AL,45
75,AL,45
76,AM,AN
77,AM,AN
78,AM,AN
79,48,47
80,48,47
81,48,47
84,51,AO
86,51,52
87,51,52
88,54,AR
89,54,AR
90,54,AR
91,AS,56
93,AT,AU
94,AV,AN
95,AY,AX
96,AY,63
97,AZ,BA
99,AZ,BA
100,BB,82
101,BC,83
102,84,BD
103,84,BD
104,BE,BF
105,85,BF
106,86,BG
107,86,BG
108,BH,BI
109,BH,BI
110,BH,BI
111,BH,BI
112,BJ,92
113,97,98
114,97,98
115,97,98
116,BO,BN
117,105,BP
118,BK,BL
119,BK,BL
